title,price,color,timestamp,url,buitenlaag,material,newarrival
Trenchcoat van katoenen twill,"€ 59,99",Zwart,1679341513,https://www2.hm.com/nl_nl/productpage.1131111003.html,"Voering zak:Polyester 100%
Buitenlaag:Katoen 100%",Materiaal: Twill,New Arrival
Getailleerde blazer,"€ 35,99",Roomwit,1679341550,https://www2.hm.com/nl_nl/productpage.0988242015.html,"Voeringen:Polyester 100%
Buitenlaag:Polyester 78%, Viscose 20%, Elastaan 2%",No material,New Arrival
Double-breasted blazer,"€ 44,99",Roze,1679341588,https://www2.hm.com/nl_nl/productpage.1088727010.html,"Voeringen:Polyester 100%
Buitenlaag:Polyester 96%, Elastaan 4%",No material,New Arrival
Overslagjurk met V-hals,"€ 29,99",Roomwit,1679341625,https://www2.hm.com/nl_nl/productpage.1153715002.html,"Buitenlaag:Polyester 98%, Elastaan 2%
Voeringen:Polyester 100%",No material,New Arrival
Flared broek,"€ 25,99",Roomwit/dessin,1679341663,https://www2.hm.com/nl_nl/productpage.1155258001.html,"Buitenlaag:Viscose 87%, Polyamide 13%
Voering zak:Polyester 100%",No material,New Arrival
One-shouldertop met rimpeleffect,"€ 9,99",Roomwit,1679341701,https://www2.hm.com/nl_nl/productpage.1152003006.html,"Voeringen:Polyester 100%
Buitenlaag:Polyester 90%, Elastaan 10%",Materiaal: Tricot,New Arrival
Ribgebreide jurk,"€ 30,99",Cerise,1679341738,https://www2.hm.com/nl_nl/productpage.1130014006.html,"Polyester 55%, Viscose 23%, Polyamide 22%",No material,New Arrival
Overhemdjurk met geknoopt detail,"€ 54,99",Groen/krokodessin,1679341776,https://www2.hm.com/nl_nl/productpage.1180209003.html,Viscose 100%,No material,New Arrival
Linnen overhemdblouse,"€ 24,99",Zwart,1679341814,https://www2.hm.com/nl_nl/productpage.1125720002.html,Linnen 100%,Materiaal: Linnen,Premium SelectionNew Arrival
Legging met persvouwen,"€ 19,99",Zwart,1679341851,https://www2.hm.com/nl_nl/productpage.1053664001.html,"Viscose 67%, Polyamide 29%, Elastaan 4%",Materiaal: Tricot,No New Arrival
Linnen overhemdblouse,"€ 24,99",Lichtbeige gemêleerd,1679341889,https://www2.hm.com/nl_nl/productpage.1125720004.html,Linnen 100%,Materiaal: Linnen,Premium SelectionNew Arrival
Linnen overhemdblouse,"€ 24,99",Koraalroze,1679341926,https://www2.hm.com/nl_nl/productpage.1125720008.html,Linnen 100%,Materiaal: Linnen,Premium SelectionNew Arrival
Rechte broek,"€ 40,99",Roze,1679341963,https://www2.hm.com/nl_nl/productpage.1138553003.html,"Voering zak:Polyester 100%
Buitenlaag:Polyester 96%, Elastaan 4%",No material,New Arrival
Dressed broek - High waist,"€ 19,99",Beige,1679342001,https://www2.hm.com/nl_nl/productpage.1091186005.html,"Polyester 95%, Elastaan 5%",Materiaal: Tricot,No New Arrival
Satijnen overslagtop,"€ 39,99",Lichtbeige/blauwe bloemen,1679342039,https://www2.hm.com/nl_nl/productpage.1152748001.html,Polyester 100%,Materiaal: Satijn,New Arrival
Overslagjurk met V-hals,"€ 29,99",Helderblauw,1679342077,https://www2.hm.com/nl_nl/productpage.1153715003.html,"Buitenlaag:Polyester 98%, Elastaan 2%
Voeringen:Polyester 100%",No material,New Arrival
Blouse met V-hals,"€ 19,99",Marineblauw,1679342114,https://www2.hm.com/nl_nl/productpage.0939703074.html,"Polyester 96%, Elastaan 4%",No material,New Arrival
Overhemdjurk van linnenmix,"€ 64,99",Lichtbeige,1679342152,https://www2.hm.com/nl_nl/productpage.1157237001.html,"Buitenlaag:Viscose 56%, Linnen 44%
Voeringen:Polyester 100%",No material,New Arrival
